,tweet,label
1313,today's update first produced team volunteer thanks everyone helped data entry today team volunteer number updated every hour see latest number state current u current tab,real
4665,point coronavirus tax refund trump telling republican supporter donald trump,fake
5739,cindy mccain join board biden's presidential transition team widow distinguished u military officer would never affiliate w biden-deep tie adversary ccp stuck us-launched bioweapon covid u soil,fake
8255,doctor vandana tiwari part covid team killed violence uttar pradesh,fake
9438,daily update published state reported 669k test 35k case death toll today lowest number since july,real
7087,coronavirus everyone's problem spokesperson dr margaret harris say rise covid19 case due relaxation summer read,real
5129,coronavirus cured sniffing clove camphor drinking water virus go stomach acid stomach kill virus,fake
653,new find odds covid19 outbreak west virginia nursing home 17x higher low quality high quality nursing home rated health depts use cm rating identify nursing home higher risk covid,real
8583,president donald trump tweeted coronavirus vaccine israel stock market economy even stronger besides u israel best invention judaism olive wonderful vaccine stop corona dead around world can't make vaccine bombed possible without peace created israel,fake
4080,new case covid19 reported lagos fct ogun gombe borno akwa ibom kwara plateau 11:30 pm 23rd april confirmed case covid19 reported nigeria discharged death take responsibility,real
3963,hcps today 2pm et log coca facebook profile call coca call topic covid19 update infection prevention control recommendation learn event,real
6224,proper way wear surgical mask blue side sick white side want infected virus,fake
6804,image several body laying ground went viral social medium claimed victim coronavirus ecuador,fake
2478,completed day managed isolation negative covid test ⁣ ⁣ one able attend funeral tangihanga day managed isolation covid19,real
5852,video show policeman taking bribe migrating worker surat,fake
10181,work together ensure essential worker protected proven treatment like dexamethasone available need covid19,real
611,health fact important friends advice another fact check covid19 cure,fake
8625,news lockdown lasted long child could put shoe twice,fake
2114,covid update ​ ​ two new community case covid new case epidemiological link existing case associated bereavement event sub-cluster epidemiologically linked mt roskill evangelical fellowship group,real
10128,smoke cremation spread coronavirus please burn dead,fake
511,second wave ppe shortage,real
4918,yesterday laboratory completed test seven day rolling daily average number test ​ ​ total number test completed new zealand date,real
7732,"source confirm covid vaccine need least 10m clinical trial choosing patient eager complete august 15,2020 mean ...",fake
8243,drinking garlic water cure,fake
4453,covid19 spread people animal close contact take step keep pet safe covid19,real
9856,india covid19 vaccine clinical trial underway oxford university-astrazeneca co vid vaccine collaboration serum institute india sii undergoing phase iii clinical trial britain brazil south africa india remaining two indigenous ... 1/2,real
2922,russian cdc admitted covid human-made,fake
6699,latest cdc co vid view report show percentage people testing positive covid19 people making medical visit symptom similar covid declining nationally since mid-july learn,real
6758,we're pleased announce inclusion 24th lab national covid19 laboratory network everight diagnostic laboratory service imo state read latest guide integration private sector laboratory covid19 testing,real
3143,myrtle beach south carolina reported new coronavirus case hour,fake
5414,garlic prevent coronavirus infection evidence protect people covid ask evidence believing forward ask evidence soon see whatsapp forward tell sender main bhi news checker coronavirus facts,fake
4802,u see close coronavirus death day via,real
6636,today new case woman 30 arrived dubai september related three case reported yesterday today three people hospital covid one isolation ward auckland city hospital,real
3540,gargling hot water cure coronavirus say doctor mumbai's covid hospital,fake
9723,hospitalized covid19 patient undergo mri,real
8474,india fights corona rt-pcr rapid antigen test rat capacity substantially scaled state everyday average 9.5 l sample tested govt lab 1.2 l pvt lab,real
7197,covid19 nigeria situation report 3rd august published today's cumulative discharged case includes recovered covid19 patient lagos state managed home read via take responsibility,real
8178,people deceived high mortality rate italy caused new coronavirus,fake
8158,local man assures shopper definitely also hoarding toilet paper coronavirus covid19 ibs,fake
1109,actor applauded macron visited suburban city pantin near paris video man front pacaembu stadium são paulo field hospital covid patient built claim since there's movement entrance one waiting get there's one inside either dean college biologist euskadi state lot pcr false positive asymptomatic spread coronavirus nagpur's medical hospital kidney patient removed excuse made patient corona novel coronavirus sending u economy freefall post list phone number job seeker call find work shared thousand time facebook instagram people italy threw away money lost family member coronavirus covid human-made american biological weapon “ fish tank additive may treat coronavirus ” “ everyone dying coronavirus ” death due covid israel mix lemon baking soda tea combination kill coronavirus alleged tweet general heleno minister institutional security sort like ministry interior brazil say covid strong since president jair bolsonaro recovered easily bolsonaro always denied covid post say donald trump said march 17th people never died dying home vaccination coronavirus cuba picture show clothes died coronavirus china beijing shipping clothes africa american ceo drew indian map comparing population indian state country across world highlighting india indirectly handling covid crisis many country picture showing many hospital bed patient concentrated small area caption state public health like brazil medium never talked president barack obama “ waited six month call swine flu emergency thousand died ” men india's railway minister demanding money helpless worker walking track doctor tijuana taking nap floor hospital photo mannequin wheeled hospital show covid coverup four people died zanzibar handling chicken infected covid post say one died coronavirus united state video showing muslim man throwing note spread coronavirus industrialist ratan tata's view economic downfall due covid hold breath second fibrosis therefore infection picture text english describing method “ hydroxychloroquine cure ‘ virus happens treatment used radiation sickness ” senegalese doctor say chloroquine secret low number death covid senegal medical report hospital general universitario santa lucía de cartagena murcia person possible coronavirus nba asking president donald trump “ resign never play ” image critically ill covid infected woman hugging child last time death “ every election year disease ” sars avian flu swine flu mers ebola zika coronavirus detail three coronavirus positive case reported kothapet hyderabad india social medium group admins requested close group two day joão doria governor são paulo caught covid isolated also took chinese vaccine tested brazil instagram post claim microsoft founder bill gate said people could die covid vaccine priyanka gandhi started bus help migrant travel covid lockdown claim made india found cure coronavirus saddam hussein talked coronavirus cabinet army ninety said america threatened spread virus follow command photo shared hundred time facebook twitter alongside claim show nurse apologising muslim man blamed muslim community spreading covid india post claim nurse forced apologise local politician document talk benefit wine prevent coronavirus pregnant woman must undergo caesarean section pandemic “ u citizen entitled usd per week stay home avoid spread covid novel coronavirus starting 3/17 ” picture quote attributed bill gate stating vaccine safe let's get quickly anyway worry consequence later,fake
6463,coranavirus biological weapon developed chinese called wuhan book published read excerpt,fake
7963,coronavirus patient preexisting mental health condition particularly susceptible clinical deterioration,real
1038,chandigarh kalka road ... nature back basic bird singing style,fake
20,nobel prize laureate tasuku honjo say coronavirus natural post facebook claim fact professor honjo said he's greatly saddened name used spread misinformation latest corona check,fake
9290,italy find home remedy covid 500gms aspirin dissolved lemon juice boiled honey taken hot,fake
10040,cdc offer tip youth sport organization way protect player family community slow spread covid19 learn,real
4722,blowing hot air hairdryer cure coronavirus,fake
3187,committee engage stakeholder including state government vaccine manufacturer,real
934,last week sent incoming envelope 📨 member state requesting join vaccine arm act-accelerator today country engaging w covax global vaccine facility largest diverse covid19 vaccine portfolio globe showing Americas 🌎,real
9812,sadly two people covid hospital today one north shore hospital general ward one icu waikato hospital wish full fast recovery,real
8774,even better piece news state reported fewer death happened since march yes probably larger number death reported tomorrow lagging weekend data get posted significant pandemic milestone,real
394,latest update today new york green circle 🟢 green threat scale right arrow ➡ ️ track contain covid change due number contact tracers they've recently hired big testament state done control covid,real
2664,covid death u long-term care facility surpassed representing death one every ltc resident america still learning state count report figure,real
1737,coronavirus four welsh county face local lockdown worrying rapid rise infection,real
2165,old man infected people coronavirus jaipur india tobacco smoke,fake
561,country � second wave � covid trying unseat president november �,fake
1162,india fights corona recovery lakh made possible policy testing aggressively tracking comprehensively treating efficiently better ambulance service focus standard care use non-invasive oxygen given desired result,real
7485,vaccine covid finally ready,fake
4884,got case extremely difficult backdate way unless state provides full historical dataset every day we're working state,real
3948,work doctor say inhalation steam boiling water best preventive virus affect respiratory system recommended one inhale mouth nose minute effective,fake
1527,coronavirus crisis rivaled hypochondria epidemic health coronavirus disease covid19 prostate cancer,fake
6018,third case man 30 also arrived nz india flight new delhi staying commodore christchurch also tested positive part routine testing around day close contact followed ⁣,real
3616,recent documented sars-cov rna found surface cruise ship cabin day cabin vacated diamond princess disinfection occurred covid19,real
58,resident york asked think new government rule allows people england may covid19 fined £ fail self-isolate read click,real
3971,thankfully state northeast pennsylvania percent-positive rate past day,real
9854,minister railway said close train immediately dont money refund passenger bought ticket advance view money given preference life request review decision corona in pakistan,fake
5202,setting realistic expectation patient chronic condition key melasma,real
6805,daily update published state reported relatively low number test 713k case 60k day average death,real
6167,new case covid19 lagos kano ogun bauchi kaduna fct sokoto katsina borno nasarawa adamawa oyo confirmed case covid19 nigeria discharged death,real
3060,want go second national lockdown say prime minister boris johnson add going keep everything review,real
3541,total number probable case combined total confirmed probable case one confirmed case imported case picked miq four point sheraton auckland routine testing around day,real
10558,video show police force beating man roadside lockdown,fake
5843,utah jazz new orleans pelican finally kick nba season every single player � coronavirus,fake
414,covid19 test see still contagious leave sick room home following true fever least hour day symptom improved day since started feeling sick,real
10068,dr vk srinivas vice-president bharath biotech taking first injection covid vaccine confidence product,fake
5236,texas florida “ balanced budget ” california “ debt billion new york “ debt 6.1 billion ”,fake
3206,acc till july covid19 case sit amar hi district bihar recovered active case covid 19 covid 19 covidー19 corona updates coronavirus india coronavirus updates coronavirus co vid updates,real
2613,coronavirus poultry product confirmed bihar health department,fake
4610,ok daily update published state reported 840k test completed nearly 66k new case hospitalization ticked major observation however state reported death today since may,real
6978,also fact-checked remark trump adult child republican national convention jr covid relief bill tiffany health care eric immigration,fake
4190,sir ed davey call government apologise gross incompetence testing tracing clear communication asks plan risk losing job pm say plan keep economy moving whilst suppressing r,real
6742,five helicopter disinfect netherlands extinguish coronavirus citizen stay inside,fake
7148,hosting flu vaccination clinic use cdc guidance assist planning covid19 pandemic fight flu,real
5157,california seen rising case count number looked solid — positive low hospitalization growing — week state appears turning,real
2133,worry india curfew in india good come stronger together coronavirus lockdown stay at home save lives,fake
1897,r chief mohan bhagwant's said covid shook faith religion,fake
6778,case brings new zealand total number confirmed case covid number report world health organization ​ ​ one new zealand receiving hospital-level care covid,real
4428,happens people made long-term unemployed covid19 said prospect bleak qanda fact check,fake
7454,covid19 coronavirus coronavirus update time repentance prayer we're getting result deed covidー19 stay home coronavirus stay safe new york tough كورونا covid2019 usa trump,fake
7800,photo show gov gretchen whitmer mackinaw island today ignoring mask social distancing rule �,fake
8233,coronavirus updates covid19 testing status update stated sample tested upto august sample tested august stay safe india will win,real
9379,health minister edward argar say two week national lockdown something “ heard ” get latest story,real
1817,candidate vaccine currently part covax candidate evaluation giving initiative largest diverse covid19 vaccine portfolio world,real
1937,india cross nine million covid test,real
10478,coronavirus updates india report highest ever single day covid19 recovery patient,real
2072,daily update published tracked million test 137k yesterday note track test state report state report test detail see,real
1726,type type diabetes associated much higher risk in-hospital death covid19,real
1047,dr manisha patil died due covid treating coronavirus patient maharashtra india,fake
8639,hand dryer effective killing coronavirus whatsapp forwards always true misleading false satire believe everything see verify sharing become news checker make main bhi news checker signature,fake
8518,_a student pondicherry university found home remedy covid accepted world health organization,fake
5022,cheb khaled king algerian rai dy paris hospital got infected covid,fake
8324,coronavirus schoolchildren parent could among group prioritised covid test say cabinet minister,real
766,latest update ministry health 5th consecutive day new case covid new zealand total number confirmed case remains total number confirmed probable case,real
1144,“ index case covid19 nigeria detected astute physician aware national case definition appeal health care worker pay attention patient travel history critical time ”,real
6500,muslim hoarding food distributed lockdown,fake
2273,still significant cluster ⁣ ⁣ additional death report ⁣ ⁣ total number test completed date increase ⁣ ⁣ ⁣ information visit,real
4436,covid19 infodemic spreading online spreading offline fact check become aware leaflet dropped melbourne mailbox containing misleading information we've debunked coronavirus facts datos coronavirus,fake
6498,coronavirus bacterium cause thrombosis italy defeated disease take aspirine apronax zinc general drug lower blood pressure,fake
5994,one strongest border system world people coming home required stay isolation quarantine day remain key part border measure,real
4132,corona check we've debunked viral facebook post used govt site claim covid19 test can't distinguish covid cold measles ebola believe misinformation internet read instead coronavirus facts,fake
8704,schoolchildren parent could prioritised coronavirus test hospital care home government deal real challenge system cabinet minister told sky news,real
3919,infected asymptomatic infected mild right arrow ➡ ️ mild case approximately week sum case two category worsen thus requiring hospitalization infected remaining progress recovered,real
9221,florida top 100k coronavirus case,real
2807,tribal leader help safeguard community covid19 funeral burial action like social distancing help stop spread coronavirus learn guidance funeral burial tribal community,real
828,someone know communicate using american sign language watch video covid19 part asl video series cdc streaming health youtube channel,real
7334,claim india began screening passenger covid19 affected country single case pm modi fact govt mandated universal screening international flight mar case detected across indian state,fake
1672,italy cure coronavirus finally found,fake
3088,n95 mask provide best protection smoke damage airway heart wildfires,real
6483,corona exclusive interview woman eats odd chinese shocking,fake
4562,said week ago icu bed they've ramped capacity lot time,real
6714,total number confirmed case ​ report,real
2275,might look like alien specie bacteria-eating virus could next big thing fight infectious disease,fake
2996,“ aware lagos abuja majority confirmed case nigeria focus therefore remains urgently drastically contain case support state region best way ” covid19 nigeria,real
5062,first night first-ever virtual dnc different gov cuomo recreated covid press briefing complete powerpoint sen sander spoke front impressive pile firewood fact here's politifact rundown,fake
2045,news deadly coronavirus nothing piss-poor bottled lager drinker reassured,fake
5267,post say study showed chloroquine effective covid ” wrong thing covid drug given human looked primate cell infected sars,fake
2392,cdc director robert redfield say healthy people wear mask �,fake
6848,rate infection continues rise think happen dr arif rajpura say government may left choice enforce circuit breaker nationwide restriction tackle second wave coronavirus latest,real
1295,new visit state joe biden mistook michigan covid number military toll,fake
4407,cure .. review lab surveillance data indicated initial rt pcr positive result covid19 case became negative median duration day recent study also suggested viral load peak pre-symptomatic period day .. 2/4,real
591,worker worked right receive benefit ₹ ministry labour employment check name list people right withdraw benefit,fake
221,florida broke new york day average record case per million population today testing capacity obviously much much greater spring however still stunning see record fall,real
9757,alleged audio argentinian prisoner claim inmate released devoto prison monday,fake
6347,mustard oil kill coronavirus,fake
9103,goat ajmer rajasthan found covid positive,fake
858,best shave beard avoid infected coronavirus,fake
8449,four active case recovered total number active case imported case managed isolation quarantine community total number confirmed case,real
8432,aap lawmaker atishi marlena today donated blood plasma institute liver biliary science delhi's vasant kunj new infection maharashtra's covid tally nears lakh mark coronavirus coronavirus facts,fake
5837,right model show chart decreasing 📉 state reduced risk re-opening moderate risk re-opening chart increasing 📈 elevated risk re-opening find state county,real
841,neither viral post coronavirus covid unicef accurate,fake
9113,french state give benefit people unemployed covid people partially unemployed due coronavirus,fake
7237,state reported death day average went first time week,real
8199,video viewed thousand time facebook alongside claim show muslim u praying street coronavirus pandemic,fake
994,protestors encouraged get tested coronavirus,real
9996,face mask cause hypoxia wearing cause one inhale much carbon dioxide make sick,fake
1554,3/4 icmr continuously communicating respective state authority finding previous survey dynamic containment zone communicated state action india fights covid19,real
3522,donald trump announced roche launch vaccine coronavirus next sunday,fake
4001,study child transmitting covid people infrequent could school closure reduced opportunity child become infected,fake
9277,say wrong asymptomatic spread covid rare,fake
4387,hospital capacity difficult increase like people try go doorway log jam people go everyone get easily overloaded hospital mean people die unnecessarily stop the spread,real
2748,coronavirus number school sending home pupil due covid quadruple week,real
3382,even broader view course pandemic march july first test,real
5441,health care worker selflessly risking life every day front line fight covid — hundred paid ultimate price american hero — cannot forget sacrifice made care u,fake
7632,india fights corona india scaled historic peak nearly lakh sample tested past hour cumulative test country close landmark figure crore,real
5130,slow spread covid19 cdc recommends people wear mask public setting around people living household especially social distancing measure difficult maintain learn,real
3895,doctor giving rescue pack people pre-existing respiratory condition,fake
4640,_research show part hiv genetic code inserted new coronavirus,fake
2233,photo making round social medium claim show people died coronavirus italy,fake
9834,many people covid19 never realize infection,real
400,iranian islamic medicine specialist claim camel urine cure coronavirus infection iran arab news,fake
9990,daily update published focus test today state reported 664k test lowest figure since july 52k reported case death,real
5920,another thread we've following new york versus rest country ny death plateaued slowly begun decline rest country yet show similar pattern,real
5545,cdc offer general consideration help community faith decide best practice belief slowing spread covid19 keeping staff congregation safe learn,real
2473,audio clip circulating whatsapp claiming nagpur second capital indian state maharashtra tested positive coronavirus case including three doctor,fake
7209,possible close contact followed three gym class le mill number confirmed close contact contacted self-isolating process contacting remaining person,real
9594,"joni ernst real amount fatality covid 200,000 american life 10,000 roger marshall doctor took anti-malarial drug show solidarity donald trump stated lie cost life gop corruption over country covid19 don lemon maddow",fake
59,central government given permission school re-open,fake
10302,“ italian parliament call arrest bill gate ”,fake
3883,state reported 36k new case today state typically report fewest case monday red chart weekend lag effect example arizona reported case today four straight day case,real
4415,south whole look likely cross positive rate 200k test reported per day region,real
8548,“ learning science around covid19 real-time inform response new study shown longest viability period virus 10days reviewing case management guideline nigeria admission discharge case ” ptfcovid19,real
1328,news government confirms dominic cummings selflessly travelled length country lockdown help build nation herd immunity,fake
2995,update covid19 coronavirus right arrow ➡ ️clinical progression varies case common presentation fever cough followed fatigue case pneumonia Japanese symbol for beginner 🔰 read full report,real
5708,loudspeaker 📢 coronavirus updates check mark button ✅ india's covid19 recovery rate improves 77.65 september round pushpin 📍 steady improvement india's covid recovery rate since lockdown initiation march india fights corona via,real
6836,brazilian new minister health nelson teich investigating covid statistic alleged fraud number case death falling brazil week april,fake
4139,say poem people staying home written kathleen mara,fake
1550,"report outbreak idiocy spreading 10,000 time faster coronavirus covidー19",fake
1009,video burqa-clad muslim woman denied food kit distributed help people current crisis india due covid muslim,fake
1612,heard straight president want terminate health care million american middle global pandemic can't let happen,fake
2391,u highest number covid19 death world pass grim milestone according data john hopkins university,real
6606,india fights corona unprecedented surge co vid recovery india increase patient recovered discharged past day,real
648,image show covid patient state coronavirus isolation ward pakistan,fake
879,louisiana stripper say contract coronavirus make point attend � donald trump,fake
9031,lucky grapefruit make quinine hydtoxychloroquine different chemical getting somewhat effective anti-malarial treatment side effect effect sars-cov virus cause covid,fake
2303,covid19 end data-driven prediction covid pandemic end date singapore univeristy trchnology design covid 19 covidー19 covid19 pakistan,fake
5023,number newly reported covid death includes death texas state reported today however texas also removed death cumulative total due “ automation error ” cumulative count reflect adjustment,real
4315,alert level update full update follow ): auckland stay alert level 11.59 pm august rest country continue remain alert level,real
550,italian doctor worked shenzhen hospital china issued series instuctions locating treating new coronavirus sars-cov,fake
8558,birx say covid outbreak control ‘ people move,fake
2913,kia os probable case part total number returned negative test still considered probable suspected case covid probable case returned positive test currently quarantine,real
7344,news celebrity genuinely belief anyone give shit ‘ lockdown recommendation,fake
4791,rt help prevent spread covid19 avoid close contact people sick wash hand often least secon …,real
211,daily update published tracked 9.7 million test 306k yesterday note track test state report detail see,real
7417,anthony scaramucci say know donald trump want get tested coronavirus donald trump,fake
3827,hi alert level library able open,real
8514,“ winner debate shall swallow vial covid ... survive ” whisper grinning lester holt democratic debate coronavirus,fake
8696,post claim sister bharatiya janata party leader kapil mishra married muslim man,fake
7434,india fights corona state ut case fatality rate cfr lower national average stand today 1.70 continuously declining secretary stay safe india will win,real
1438,india fights corona japan commits r crore approx official development assistance health sector fight covid19 crisis india read detail stay safe india will win,real
5133,wuhan spelled backwards nahuw way josé coronavirus start coronavirus richard nixon napoleon,fake
696,false mike pence's claim oklahoma flattened covid curve data show oklahoma daily caseload risen consistently june level higher point pandemic,fake
7303,total number confirmed case covid number report world health organization,real
8771,"video show bill gate admits vaccine doubt kill 700,000 people",fake
6264,sadly people hospital covid today auckland city middlemore north shore waikato christchurch hospital people ward icu ​ sending family aroha,real
9285,india fights corona coronavirus update steady march india conduct total nearly 3.6 crore test test per million tpm scale new peak,real
1314,total number confirmed case remains number report world health organization,real
9433,rt remember coronavirus vaccine ready market vaccine furthest along,fake
9961,bill gate creating vaccine covid would geolocate population,fake
12,announced first participant age cohort dosed phase study mrna vaccine mrna novel coronavirus read mrna,real
2595,photo show packed beach re-opened jacksonville beach cnn,fake
7257,facebook post make several claim etymology covid,fake
1346,toilet may pose risk spread covid,real
9172,rahul gandhi priyanka gandhi breaking lock-down regulation saying need visit friend,fake
453,fda warns use hydroxy chloro quine treat covid19,real
4902,household cure covid à la trump donald trump covid19 medicines,fake
9236,amit shah tested covid positive people took funeral,fake
3997,three story read afternoon red circle 🔴 pm chair emergency cobra meeting tomorrow red circle 🔴 daily case within week unless infection rate slow red circle 🔴 four way help beat covid,real
9258,earlier month director-general health signalled move strongly focus testing border approach formally announced health minister week,real
7316,let u give one example difficult call yesterday california announced test administered cumulatively big difference test people tested would imply 16k test rough rule thumb,real
37,nyt invented video doctor fighting coronavirus hospital,fake
1043,bill gate melinda gate anthony fauci charged genocide,fake
5076,one seven emirate united arab emirate uae banned burial people died contracting novel coronavirus,fake
940,news government tell people unable take covid test allowed use predicted result,fake
4366,loudspeaker 📢 coronavirus updates round pushpin 📍 covid19 india tracker september 08:00 right arrow ➡ ️confirmed case right arrow ➡ ️recovered 76.9 thumbs up 👍 right arrow ➡ ️active case 21.3 right arrow ➡ ️deaths 1.8 india fights corona india will win stay safe via,real
3418,single politician died lost job worn mask covid pandemic,fake
3884,logic behind janta curfew carona virus life one place hr janta curfew hr place point public area carona may survived touched hr break chain,fake
538,tracking city-level data allows u see black people died covid michigan detroit decision individual jurisdiction make obscure scale impact,real
9917,reported daily death toll line last friday,real
8139,challenge take tremendous promise act accelerator covax scale critical point need significant increase country political financial commitment covid19 unga un75,real
1400,georgia recorded new case today positivity rate continued rise posted least case last three day ga never reported case one day,real
4587,yesterday laboratory completed test swab taken community taken managed isolation quarantine facility ​ brings total number test completed date,real
